date,RSI
2026-02-06,69.0258
2026-02-05,67.1143
2026-02-04,68.1390
2026-02-03,61.5502
2026-02-02,62.4570
2026-01-30,48.4444
2026-01-29,46.3244
2026-01-28,42.9864
2026-01-27,45.6056
2026-01-26,40.3292
2026-01-23,22.2920
2026-01-22,22.5583
2026-01-21,20.5685
2026-01-20,17.9103
2026-01-16,25.1841
2026-01-15,28.4392
2026-01-14,30.8576
2026-01-13,32.4537
2026-01-12,29.9856
2026-01-09,27.2711
2026-01-08,26.2758
2026-01-07,27.6493
2026-01-06,29.9358
2026-01-05,36.7472
2026-01-02,43.8351
2025-12-31,45.6900
2025-12-30,48.4207
2025-12-29,49.9663
2025-12-26,49.1687
2025-12-24,50.0119
2025-12-23,47.0288
2025-12-22,44.0570
2025-12-19,49.0170
2025-12-18,45.9179
2025-12-17,45.1863
2025-12-16,50.1749
2025-12-15,49.2355
2025-12-12,57.6533
2025-12-11,57.2463
2025-12-10,58.8209
2025-12-09,56.4479
2025-12-08,57.8209
2025-12-05,59.5055
2025-12-04,63.1939
2025-12-03,70.4832
2025-12-02,75.2491
2025-12-01,72.6478
2025-11-28,68.4071
2025-11-26,66.9518
2025-11-25,66.3088
2025-11-24,65.1696
2025-11-21,59.8515
2025-11-20,51.7617
2025-11-19,56.4150
2025-11-18,54.5765
2025-11-17,54.6147
2025-11-14,65.0838
2025-11-13,66.3726
2025-11-12,67.5691
2025-11-11,71.6759
2025-11-10,65.2664
2025-11-07,63.6675
2025-11-06,66.7057
2025-11-05,67.5577
2025-11-04,67.4534
2025-11-03,66.4619
2025-10-31,69.0668
2025-10-30,71.0856
2025-10-29,69.7296
2025-10-28,69.1769
2025-10-27,69.0344
2025-10-24,64.1875
2025-10-23,61.1318
2025-10-22,60.0273
2025-10-21,66.7624
2025-10-20,66.3321
2025-10-17,56.5175
2025-10-16,49.9239
2025-10-15,52.8287
2025-10-14,50.6122
2025-10-13,50.4607
2025-10-10,47.1938
2025-10-09,60.8718
2025-10-08,69.4377
2025-10-07,67.7831
2025-10-06,68.2391
2025-10-03,71.0497
2025-10-02,70.2893
2025-10-01,68.8555
2025-09-30,68.1590
2025-09-29,67.9969
2025-09-26,69.6935
2025-09-25,71.9762
2025-09-24,68.9190
2025-09-23,72.3252
2025-09-22,75.0043
2025-09-19,67.9316
2025-09-18,60.4466
2025-09-17,62.4172
2025-09-16,61.5361
2025-09-15,60.0341
2025-09-12,57.2207
2025-09-11,52.4456
2025-09-10,48.1344
2025-09-09,59.9006
2025-09-08,67.0019
2025-09-05,71.0101
2025-09-04,71.2068
2025-09-03,70.0870
2025-09-02,60.5777
2025-08-29,65.9630
2025-08-28,66.9217
2025-08-27,64.5646
2025-08-26,63.1756
2025-08-25,60.5599
2025-08-22,61.6955
2025-08-21,58.2285
2025-08-20,60.1920
2025-08-19,69.0548
2025-08-18,69.7465
2025-08-15,71.1501
2025-08-14,73.4846
2025-08-13,74.5342
2025-08-12,72.0543
2025-08-11,70.2486
2025-08-08,73.6623
2025-08-07,66.2258
2025-08-06,58.2659
2025-08-05,37.3892
2025-08-04,38.1264
2025-08-01,35.4609
2025-07-31,45.1175
2025-07-30,48.6237
2025-07-29,54.5256
2025-07-28,63.4862
2025-07-25,63.1422
2025-07-24,62.9133
2025-07-23,64.1153
2025-07-22,64.8529
2025-07-21,61.7118
2025-07-18,59.4324
2025-07-17,57.3274
2025-07-16,57.6627
2025-07-15,55.8649
2025-07-14,55.0376
2025-07-11,60.4962
2025-07-10,63.3683
2025-07-09,61.6506
2025-07-08,60.1051
2025-07-07,60.0257
2025-07-03,67.5150
2025-07-02,66.3115
2025-07-01,60.6822
2025-06-30,56.8409
2025-06-27,49.8142
2025-06-26,49.6653
2025-06-25,50.6416
2025-06-24,48.5277
2025-06-23,50.4380
2025-06-20,49.6715
2025-06-18,42.3527
2025-06-17,40.6483
2025-06-16,44.2404
2025-06-13,40.7978
2025-06-12,44.3468
2025-06-11,43.6517
2025-06-10,48.9054
2025-06-09,47.0494
2025-06-06,50.4978
2025-06-05,45.5630
2025-06-04,48.5549
2025-06-03,49.1709
2025-06-02,46.9921
2025-05-30,45.8246
2025-05-29,44.6255
2025-05-28,45.1097
2025-05-27,44.8615
2025-05-23,38.8184
2025-05-22,44.3872
2025-05-21,45.1075
2025-05-20,50.0337
2025-05-19,52.1629
2025-05-16,54.9686
2025-05-15,55.1798
2025-05-14,56.1066
2025-05-13,56.7097
2025-05-12,55.1117
2025-05-09,43.8694
2025-05-08,42.7637
2025-05-07,41.4875
2025-05-06,43.1144
2025-05-05,43.3800
2025-05-02,48.0526
2025-05-01,54.8171
2025-04-30,54.2012
2025-04-29,53.2706
2025-04-28,52.5277
2025-04-25,51.9577
2025-04-24,51.3841
2025-04-23,49.0436
2025-04-22,45.9276
2025-04-21,41.4243
2025-04-17,43.3715
2025-04-16,41.5619
2025-04-15,45.4811
2025-04-14,45.6742
2025-04-11,43.0941
2025-04-10,38.2795
2025-04-09,41.8665
2025-04-08,20.0578
2025-04-07,22.7710
2025-04-04,25.1933
2025-04-03,31.9469
2025-04-02,48.9924
2025-04-01,48.1232
2025-03-31,46.8498
2025-03-28,41.5312
2025-03-27,47.7755
2025-03-26,44.7689
2025-03-25,47.1825
2025-03-24,43.3227
2025-03-21,40.0065
2025-03-20,33.9208
2025-03-19,34.8173
2025-03-18,31.0309
2025-03-17,31.9153
2025-03-14,31.2065
2025-03-13,25.8519
2025-03-12,30.0074
2025-03-11,32.5787
2025-03-10,37.7448
2025-03-07,50.8018
2025-03-06,45.1125
2025-03-05,45.6498
2025-03-04,45.8851
2025-03-03,48.4469
2025-02-28,53.4768
2025-02-27,47.4386
2025-02-26,51.6328
2025-02-25,62.9070
2025-02-24,63.0217
2025-02-21,61.3293
2025-02-20,61.8038
2025-02-19,60.8392
2025-02-18,60.4528
2025-02-14,60.6333
2025-02-13,57.8744
2025-02-12,53.2571
2025-02-11,48.4742
2025-02-10,42.0335
2025-02-07,41.6661
2025-02-06,47.4481
2025-02-05,46.5235
2025-02-04,46.8604
2025-02-03,41.1141
2025-01-31,49.3858
2025-01-30,51.2927
2025-01-29,53.4251
2025-01-28,52.2803
2025-01-27,42.2072
2025-01-24,30.7698
2025-01-23,31.4891
2025-01-22,31.6217
2025-01-21,29.6975
2025-01-17,35.4036
2025-01-16,32.5850
2025-01-15,42.1198
2025-01-14,33.4881
2025-01-13,34.6592
2025-01-10,37.3095
2025-01-08,44.9266
2025-01-07,44.0380
2025-01-06,48.1452
2025-01-03,45.3638
2025-01-02,46.0491
2024-12-31,56.7159
2024-12-30,60.2256
2024-12-27,67.6263
2024-12-26,76.4529
2024-12-24,75.7503
2024-12-23,73.0857
2024-12-20,72.3342
2024-12-19,67.2119
2024-12-18,64.9831
2024-12-17,80.9232
2024-12-16,78.7480
2024-12-13,75.6767
2024-12-12,75.4845
2024-12-11,73.8237
2024-12-10,78.1017
2024-12-09,77.1206
2024-12-06,72.7799
2024-12-05,73.4417
2024-12-04,73.4080
2024-12-03,73.0268
2024-12-02,69.5860
2024-11-29,66.6701
2024-11-27,63.1901
2024-11-26,63.5237
2024-11-25,60.2402
2024-11-22,55.0989
2024-11-21,52.5342
2024-11-20,53.5439
2024-11-19,52.2660
2024-11-18,51.8216
2024-11-15,46.4438
2024-11-14,52.2142
2024-11-13,46.2434
2024-11-12,44.3911
2024-11-11,44.3911
2024-11-08,48.8424
2024-11-07,49.2959
2024-11-06,40.2083
2024-11-05,41.2614
2024-11-04,38.3014
2024-11-01,39.4553
2024-10-31,43.5129
2024-10-30,50.2096
2024-10-29,57.1707
2024-10-28,56.7496
2024-10-25,53.6292
2024-10-24,52.2798
2024-10-23,52.6013
2024-10-22,62.1239
2024-10-21,63.4199
2024-10-18,61.6463
2024-10-17,58.0055
2024-10-16,57.5194
2024-10-15,61.1998
2024-10-14,58.1356
2024-10-11,53.0752
2024-10-10,55.5527
2024-10-09,56.3727
2024-10-08,51.3445
2024-10-07,44.9710
2024-10-04,53.0533
2024-10-03,51.2544
2024-10-02,53.1106
2024-10-01,52.2867
2024-09-30,64.9027
2024-09-27,57.6163
2024-09-26,57.1886
2024-09-25,55.4089
2024-09-24,57.3333
2024-09-23,56.0579
2024-09-20,59.2176
2024-09-19,60.4427
2024-09-18,48.3214
2024-09-17,40.2104
2024-09-16,39.1415
2024-09-13,50.0710
2024-09-12,50.6447
2024-09-11,50.4299
2024-09-10,45.3042
2024-09-09,46.7113
2024-09-06,46.5378
2024-09-05,49.1108
2024-09-04,46.4126
2024-09-03,49.4689
2024-08-30,61.7137
2024-08-29,63.5664
2024-08-28,58.7647
2024-08-27,62.3240
2024-08-26,61.1170
2024-08-23,60.6487
2024-08-22,57.4132
2024-08-21,61.1955
2024-08-20,61.4165
2024-08-19,60.6732
2024-08-16,60.9546
2024-08-15,59.5048
2024-08-14,56.0901
2024-08-13,55.5682
2024-08-12,51.0813
2024-08-09,49.1189
2024-08-08,45.2380
2024-08-07,40.1923
2024-08-06,36.1375
2024-08-05,38.0229
2024-08-02,50.7984
2024-08-01,48.5236
2024-07-31,54.3057
2024-07-30,49.3657
2024-07-29,48.4828
2024-07-26,48.0623
2024-07-25,47.3930
2024-07-24,48.6947
2024-07-23,57.7744
2024-07-22,56.5536
2024-07-19,57.0642
2024-07-18,56.9301
2024-07-17,63.6003
2024-07-16,73.7395
2024-07-15,73.4617
2024-07-12,70.8284
2024-07-11,68.6025
2024-07-10,78.7687
2024-07-09,76.1614
2024-07-08,75.6051
2024-07-05,74.6600
2024-07-03,71.3210
2024-07-02,70.3516
2024-07-01,67.5508
2024-06-28,61.6999
2024-06-27,68.1804
2024-06-26,67.4039
2024-06-25,63.3161
2024-06-24,62.3403
2024-06-21,61.6788
2024-06-20,65.2655
2024-06-18,73.6353
2024-06-17,78.4588
2024-06-14,75.8823
2024-06-13,79.5828
2024-06-12,78.9453
2024-06-11,75.3261
2024-06-10,60.3131
2024-06-07,71.1088
2024-06-06,67.6742
2024-06-05,72.2760
2024-06-04,70.2197
2024-06-03,69.7816
2024-05-31,67.2964
2024-05-30,65.8916
2024-05-29,64.4129
2024-05-28,63.9779
2024-05-24,63.9643
2024-05-23,59.5579
2024-05-22,69.8414
2024-05-21,74.1283
2024-05-20,72.7237
2024-05-17,71.4378
2024-05-16,71.4057
2024-05-15,71.2858
2024-05-14,68.9819
2024-05-13,67.7763
2024-05-10,64.1412
2024-05-09,66.8925
2024-05-08,64.8767
2024-05-07,64.5038
2024-05-06,63.7792
2024-05-03,66.8460
2024-05-02,54.1614
2024-05-01,47.4307
2024-04-30,49.2864
2024-04-29,55.4907
2024-04-26,47.3342
2024-04-25,48.4934
2024-04-24,46.7064
2024-04-23,42.1661
2024-04-22,39.7843
2024-04-19,37.9024
2024-04-18,40.7762
2024-04-17,42.1734
2024-04-16,44.1949
2024-04-15,49.4768
2024-04-12,56.8319
2024-04-11,54.3678
2024-04-10,38.7616
2024-04-09,42.2549
2024-04-08,38.9574
2024-04-05,40.9696
2024-04-04,39.0019
2024-04-03,40.3664
2024-04-02,38.4139
2024-04-01,40.2099
2024-03-28,42.4559
2024-03-27,45.4296
2024-03-26,37.4231
2024-03-25,39.1104
2024-03-22,41.2782
2024-03-21,39.2898
2024-03-20,52.5431
2024-03-19,46.6098
2024-03-18,40.2937
2024-03-15,37.0717
2024-03-14,37.7247
2024-03-13,32.2730
2024-03-12,35.5151
2024-03-11,34.1102
2024-03-08,27.9787
2024-03-07,22.2228
2024-03-06,22.3378
2024-03-05,23.2695
2024-03-04,28.8299
2024-03-01,36.1811
2024-02-29,38.3516
2024-02-28,39.7114
2024-02-27,42.2219
2024-02-26,37.7850
2024-02-23,40.4538
2024-02-22,44.4164
2024-02-21,38.1861
2024-02-20,35.7052
2024-02-16,37.0685
2024-02-15,39.9994
2024-02-14,40.5565
2024-02-13,42.2328
2024-02-12,46.4601
2024-02-09,50.2209
2024-02-08,48.4687
2024-02-07,50.8201
2024-02-06,50.5955
2024-02-05,47.3045
2024-02-02,43.3458
2024-02-01,45.0815
2024-01-31,39.6128
2024-01-30,45.8916
2024-01-29,53.9396
2024-01-26,55.6337
2024-01-25,60.0773
2024-01-24,60.9295
2024-01-23,62.6293
2024-01-22,60.6979
2024-01-19,56.9677
2024-01-18,51.6042
2024-01-17,36.7354
2024-01-16,38.4886
2024-01-12,43.0918
2024-01-11,42.1662
2024-01-10,43.3568
2024-01-09,40.6330
2024-01-08,41.3719
2024-01-05,28.8406
2024-01-04,29.8273
2024-01-03,33.2089
2024-01-02,35.4242
2023-12-29,51.1200
2023-12-28,54.5397
2023-12-27,53.3530
2023-12-26,53.0886
2023-12-22,54.6714
2023-12-21,57.8142
2023-12-20,58.2461
2023-12-19,64.5431
2023-12-18,62.6787
2023-12-15,67.9904
2023-12-14,69.7547
2023-12-13,69.5509
2023-12-12,64.7754
2023-12-11,62.1826
2023-12-08,70.1061
2023-12-07,67.9475
2023-12-06,64.7466
2023-12-05,68.3205
2023-12-04,61.0858
2023-12-01,67.5875
2023-11-30,65.1314
2023-11-29,63.9922
2023-11-28,67.6360
2023-11-27,66.5898
2023-11-24,67.1849
2023-11-22,71.6086
2023-11-21,70.7133
2023-11-20,73.3085
2023-11-17,71.1740
2023-11-16,71.2341
2023-11-15,69.1797
2023-11-14,68.4788
2023-11-13,65.0617
2023-11-10,69.2889
2023-11-09,63.4698
2023-11-08,64.7628
2023-11-07,63.2114
2023-11-06,59.1712
2023-11-03,54.5546
2023-11-02,56.6766
2023-11-01,49.5458
2023-10-31,41.6137
2023-10-30,40.3066
2023-10-27,34.4280
2023-10-26,30.3348
2023-10-25,37.1513
2023-10-24,42.0252
2023-10-23,40.6661
2023-10-20,40.3117
2023-10-19,45.7690
2023-10-18,46.6325
2023-10-17,49.6294
2023-10-16,53.4525
2023-10-13,53.7709
2023-10-12,58.3932
2023-10-11,56.7023
2023-10-10,54.0134
2023-10-09,55.3722
2023-10-06,52.6044
2023-10-05,47.3933
2023-10-04,44.6558
2023-10-03,41.8221
2023-10-02,44.0669
2023-09-29,38.2791
2023-09-28,37.0406
2023-09-27,36.4485
2023-09-26,38.4229
2023-09-25,44.4426
2023-09-22,41.7911
2023-09-21,40.0191
2023-09-20,42.1821
2023-09-19,47.6729
2023-09-18,45.6545
2023-09-15,39.8581
2023-09-14,40.8561
2023-09-13,37.8266
2023-09-12,40.4550
2023-09-11,44.6755
2023-09-08,42.5286
2023-09-07,41.4195
2023-09-06,48.9959
2023-09-05,62.4607
2023-09-01,62.1191
2023-08-31,59.8722
2023-08-30,59.5640
2023-08-29,54.3398
2023-08-28,47.3010
2023-08-25,44.0831
2023-08-24,39.2189
2023-08-23,47.3483
2023-08-22,37.4712
2023-08-21,33.3209
2023-08-18,29.0753
2023-08-17,27.5198
2023-08-16,30.8106
2023-08-15,32.0284
2023-08-14,34.9589
2023-08-11,30.0189
2023-08-10,29.8414
2023-08-09,30.1014
2023-08-08,31.9958
2023-08-07,29.5671
2023-08-04,33.2069
2023-08-03,49.8748
2023-08-02,53.7206
2023-08-01,63.4705
2023-07-31,66.6060
2023-07-28,65.4429
2023-07-27,59.9963
2023-07-26,64.6355
2023-07-25,62.7991
2023-07-24,60.9370
2023-07-21,59.1700
2023-07-20,63.0613
2023-07-19,70.1535
2023-07-18,67.8162
2023-07-17,68.7652
2023-07-14,62.5963
2023-07-13,62.2819
2023-07-12,60.7075
2023-07-11,57.0541
2023-07-10,58.6419
2023-07-07,65.2252
2023-07-06,69.1608
2023-07-05,68.4089
2023-07-03,72.2601
2023-06-30,77.6869
2023-06-29,72.0288
2023-06-28,71.5081
2023-06-27,69.6730
2023-06-26,64.7272
2023-06-23,70.0914
2023-06-22,71.3373
2023-06-21,66.0071
2023-06-20,70.1936
2023-06-16,70.0424
2023-06-15,74.2809
2023-06-14,71.2251
2023-06-13,70.2038
2023-06-12,71.9831
2023-06-09,67.4694
2023-06-08,66.7846
2023-06-07,61.4747
2023-06-06,66.4614
2023-06-05,67.8212
2023-06-02,72.9533
2023-06-01,71.7053
2023-05-31,67.0418
2023-05-30,67.2229
2023-05-26,63.8290
2023-05-25,58.6403
2023-05-24,55.8697
2023-05-23,55.1911
2023-05-22,63.7777
2023-05-19,67.3139
2023-05-18,67.1199
2023-05-17,62.7115
2023-05-16,61.4506
2023-05-15,61.4506
2023-05-12,62.9303
2023-05-11,65.6875
2023-05-10,65.3955
2023-05-09,62.6965
2023-05-08,67.4295
2023-05-05,67.6213
2023-05-04,54.1668
2023-05-03,59.0263
2023-05-02,62.4420
2023-05-01,65.8506
2023-04-28,66.1379
2023-04-27,64.0843
2023-04-26,54.7555
2023-04-25,54.7839
2023-04-24,59.2370
2023-04-21,58.6163
2023-04-20,63.3244
2023-04-19,66.2972
2023-04-18,64.4635
2023-04-17,62.4348
2023-04-14,62.4027
2023-04-13,63.2827
2023-04-12,53.8567
2023-04-11,55.5545
2023-04-10,58.5670
2023-04-06,65.6335
2023-04-05,64.2634
2023-04-04,69.6185
2023-04-03,71.2097
2023-03-31,69.6972
2023-03-30,66.4210
2023-03-29,64.1693
2023-03-28,59.1820
2023-03-27,60.7679
2023-03-24,65.8953
2023-03-23,64.0057
2023-03-22,62.3933
2023-03-21,66.0128
2023-03-20,63.4608
2023-03-17,59.8908
2023-03-16,61.8791
2023-03-15,57.4674
2023-03-14,56.8184
2023-03-13,53.3123
2023-03-10,49.7950
2023-03-09,53.7869
2023-03-08,58.5410
2023-03-07,56.5548
2023-03-06,61.3466
2023-03-03,57.1096
2023-03-02,47.3012
2023-03-01,45.9563
2023-02-28,50.1127
2023-02-27,51.1560
2023-02-24,48.8079
2023-02-23,54.1852
2023-02-22,53.3153
2023-02-21,52.5815
2023-02-17,61.0091
2023-02-16,63.7116
2023-02-15,67.5945
2023-02-14,64.9894
2023-02-13,66.5043
2023-02-10,63.0056
2023-02-09,62.5329
2023-02-08,64.7119
2023-02-07,70.6561
2023-02-06,67.7102
2023-02-03,74.2787
2023-02-02,70.7821
2023-02-01,64.1549
2023-01-31,62.4837
2023-01-30,60.5511
2023-01-27,67.9316
2023-01-26,65.2902
2023-01-25,62.2091
2023-01-24,63.8892
2023-01-23,61.8621
2023-01-20,56.7136
2023-01-19,51.8724
2023-01-18,51.7568
2023-01-17,53.2007
2023-01-13,51.1554
2023-01-12,48.7771
2023-01-11,48.9081
2023-01-10,44.0970
2023-01-09,43.0505
2023-01-06,42.1314
2023-01-05,33.4784
2023-01-04,34.8896
2023-01-03,32.3402
2022-12-30,37.4732
2022-12-29,36.8605
2022-12-28,29.7267
2022-12-27,33.6754
2022-12-23,35.6947
2022-12-22,36.1011
2022-12-21,39.7595
2022-12-20,33.6520
2022-12-19,33.7225
2022-12-16,35.8565
2022-12-15,37.9290
2022-12-14,46.3096
2022-12-13,49.7474
2022-12-12,48.1990
2022-12-09,44.4181
2022-12-08,45.0604
2022-12-07,42.3595
2022-12-06,44.7108
2022-12-05,49.5318
2022-12-02,51.1565
2022-12-01,51.8254
2022-11-30,51.4956
