date,1. open,2. high,3. low,4. close,5. volume
2026-02-06,681.4600,692.3100,680.8500,690.6200,87232447
2026-02-05,680.9400,683.6900,675.7900,677.6200,113610812
2026-02-04,690.3500,691.4500,681.7600,686.1900,105204600
2026-02-03,696.2100,696.9600,684.0300,689.5300,105889540
2026-02-02,689.5800,696.9300,689.4200,695.4100,77975410
2026-01-30,691.7900,694.2100,687.1200,691.9700,101835131
2026-01-29,696.3900,697.0600,684.8300,694.0400,97486198
2026-01-28,697.0500,697.8400,693.9400,695.4200,61172165
2026-01-27,694.1800,696.5300,693.5700,695.4900,54124395
2026-01-26,690.4900,694.1300,689.9200,692.7300,60473813
2026-01-23,688.1500,690.9600,687.1600,689.2300,63059578
2026-01-22,689.8500,691.1300,686.9200,688.9800,77112243
2026-01-21,679.6500,688.7350,678.1300,685.4000,127844467
2026-01-20,681.4900,684.7700,676.5700,677.5800,107178877
2026-01-16,693.6600,694.2500,690.1000,691.6600,79289200
2026-01-15,694.5700,695.4500,691.2500,692.2400,77861974
2026-01-14,691.0000,691.7200,686.0400,690.3600,94676684
2026-01-13,695.4900,696.0900,691.3500,693.7700,78309726
2026-01-12,690.6800,696.0900,690.6300,695.1600,63976002
2026-01-09,690.6300,695.3100,689.1800,694.0700,80125467
2026-01-08,688.8200,690.6150,687.4900,689.5100,64019200
2026-01-07,692.1900,693.9600,689.3200,689.5800,75588337
2026-01-06,687.9300,692.3150,687.7800,691.8100,69273827
2026-01-05,686.5400,689.4300,686.3750,687.7200,71927191
2026-01-02,685.7100,686.8700,679.8200,683.1700,89377203
2025-12-31,687.1400,687.3600,681.7100,681.9200,74144801
2025-12-30,687.4450,688.5550,686.5800,687.0100,47160671
2025-12-29,687.5400,689.2000,686.0700,687.8500,62559503
2025-12-26,690.6400,691.6600,689.2700,690.3100,41613347
2025-12-24,687.9500,690.8300,687.8000,690.3800,39445560
2025-12-23,683.9200,688.2000,683.8700,687.9600,64839951
2025-12-22,683.9400,685.3600,680.5868,684.8300,69556733
2025-12-19,676.5900,681.0900,676.4700,680.5900,103599543
2025-12-18,677.6000,680.7400,674.9000,676.4700,108650128
2025-12-17,679.8900,680.4350,671.1950,671.4000,110625198
2025-12-16,679.2300,681.0800,674.9800,678.8700,122030631
2025-12-15,685.7400,685.7600,679.2500,680.7300,90810952
2025-12-12,688.1700,688.8800,679.1744,681.7600,113160347
2025-12-11,685.1400,689.2500,682.1650,689.1700,86173678
2025-12-10,682.5600,688.9700,681.3100,687.5700,85671334
2025-12-09,683.1500,685.3850,682.5900,683.0400,56313923
2025-12-08,686.5900,686.6400,681.5700,683.6300,53033654
2025-12-05,685.4700,688.3900,684.5800,685.6900,79241045
2025-12-04,685.3000,685.3700,681.3400,684.3900,61970336
2025-12-03,680.5700,684.9100,679.6900,683.8900,57238481
2025-12-02,681.9200,683.8200,679.3275,681.5300,62953844
2025-12-01,678.8100,682.9900,678.7400,680.2700,61201193
2025-11-28,680.8600,683.6650,680.5000,683.3900,49212030
2025-11-26,677.6300,681.7000,676.7200,679.6800,71879597
2025-11-25,668.6300,676.2100,664.4800,675.0200,81077088
2025-11-24,662.6900,670.0600,661.5900,668.7300,80437940
2025-11-21,655.0500,664.5500,650.8500,659.0300,123956203
2025-11-20,672.9100,675.5600,651.8900,652.5300,165293521
2025-11-19,660.7800,667.3400,658.7450,662.6300,94702955
2025-11-18,662.0950,665.1200,655.8600,660.0800,114467488
2025-11-17,669.7000,673.7100,662.1700,665.6700,90456105
2025-11-14,665.3800,675.6600,663.2650,671.9300,96846672
2025-11-13,680.5000,680.8600,670.5200,672.0400,103457788
2025-11-12,684.7900,684.9600,680.9450,683.3800,62312484
2025-11-11,679.9500,683.5700,678.7300,683.0000,58953385
2025-11-10,677.2350,682.1800,675.0300,681.4400,75842888
2025-11-07,667.9100,671.0800,661.2050,670.9700,100592443
2025-11-06,676.4700,677.3800,668.7200,670.3100,85035298
2025-11-05,674.9800,680.8600,674.1700,677.5800,72763485
2025-11-04,676.1100,679.9600,674.5800,675.2400,78426969
2025-11-03,685.6700,685.8000,679.9400,683.3400,57315025
2025-10-31,685.0400,685.0800,679.2400,682.0600,87164122
2025-10-30,683.9000,685.9400,679.8300,679.8300,76335751
2025-10-29,688.7200,689.7000,682.8700,687.3900,85362207
2025-10-28,687.0500,688.9050,684.8300,687.0600,61738073
2025-10-27,682.7300,685.5400,682.1150,685.2400,63339790
2025-10-24,676.4600,678.4700,675.6500,677.2500,74356527
2025-10-23,668.1200,672.7101,667.8000,671.7600,65604461
2025-10-22,672.0000,672.0000,663.3000,667.8000,80564006
2025-10-21,671.4400,672.9900,669.9810,671.2900,56249034
2025-10-20,667.3200,672.2100,667.2700,671.3000,60493350
2025-10-17,659.5000,665.7550,658.1400,664.3900,96500870
2025-10-16,666.8200,668.7100,657.1100,660.6400,110563346
2025-10-15,666.8200,670.2300,658.9300,665.1700,81702555
2025-10-14,657.1700,665.8300,653.1700,662.2300,88779560
2025-10-13,660.6500,665.1300,659.7679,663.0400,79560517
2025-10-10,672.1300,673.9500,652.8400,653.0200,159422589
2025-10-09,673.5300,673.9400,669.2100,671.1600,66501941
2025-10-08,670.2500,673.2056,669.4200,673.1100,60702241
2025-10-07,672.5400,672.9900,667.6700,669.1200,72020067
2025-10-06,671.6200,672.5100,669.4550,671.6100,54623260
2025-10-03,669.9900,672.6750,668.1600,669.2100,70494350
2025-10-02,670.4500,670.5650,666.7800,669.2200,56895993
2025-10-01,663.1700,669.3700,663.0600,668.4500,72545369
2025-09-30,662.9300,666.6500,661.6100,666.1800,86288028
2025-09-29,664.3600,665.2800,661.8600,663.6800,73499015
2025-09-26,659.5100,662.3700,657.8800,661.8200,69179209
2025-09-25,657.9400,659.4056,654.4050,658.0500,89622067
2025-09-24,664.5100,664.6100,659.6700,661.1000,68082229
2025-09-23,666.7200,667.3400,661.9800,663.2100,81708872
2025-09-22,662.2000,667.2900,662.1700,666.8400,69452201
2025-09-19,662.3300,664.5500,660.3700,663.7000,97945620
2025-09-18,661.8900,664.8900,660.2700,662.2600,90459242
2025-09-17,660.0100,661.7200,654.3000,659.1800,101952244
2025-09-16,661.4700,661.7800,659.2100,660.0000,61168953
